latitudes,longitudes,median_income,GEOID,agg_travel_time_min,workers_who_commute,total_pop,tract_name
38.733140162320325,-121.27047369849302,58792.0,06061020713,22385.0,1036.0,3196.0,"Census Tract 207.13, Placer County, California"
38.78181982039182,-121.23712249053104,60398.0,06061021108,28420.0,1557.0,3080.0,"Census Tract 211.08, Placer County, California"
38.766812312094224,-121.3199081283635,64099.0,06061021037,22585.0,797.0,1985.0,"Census Tract 210.37, Placer County, California"
38.74539344582286,-121.27623064349804,63250.0,06061020806,36055.0,1706.0,3668.0,"Census Tract 208.06, Placer County, California"
38.89030227286912,-121.30303908040935,52578.0,06061021403,75275.0,3222.0,6909.0,"Census Tract 214.03, Placer County, California"
38.7556629874551,-121.29894158848327,63365.0,06061021045,35910.0,1534.0,3107.0,"Census Tract 210.45, Placer County, California"
38.73866420182332,-121.26250638690914,70000.0,06061020712,43475.0,1480.0,3715.0,"Census Tract 207.12, Placer County, California"
38.778618925705565,-121.25372533881695,76976.0,06061021129,47710.0,1699.0,3352.0,"Census Tract 211.29, Placer County, California"
38.95224623841843,-121.11065092443323,44091.0,06061021603,42390.0,1801.0,4763.0,"Census Tract 216.03, Placer County, California"
38.73819805695612,-121.2933034782124,43958.0,06061020901,24410.0,975.0,2467.0,"Census Tract 209.01, Placer County, California"
38.66282297270793,-120.98418937531375,79850.0,06017030809,27225.0,1127.0,2497.0,"Census Tract 308.09, El Dorado County, California"
38.92377008084285,-119.98066407316102,56513.0,06017030301,24705.0,1547.0,2712.0,"Census Tract 303.01, El Dorado County, California"
38.68338474579018,-120.99102291122836,79750.0,06017030810,45325.0,1572.0,3915.0,"Census Tract 308.10, El Dorado County, California"
38.673207641899744,-121.78970020512519,50528.0,06113011001,72850.0,3174.0,7486.0,"Census Tract 110.01, Yolo County, California"
38.551204439436376,-121.7458163979772,50798.0,06113010701,57310.0,2539.0,5140.0,"Census Tract 107.01, Yolo County, California"
38.54999594400434,-121.78371607340114,55096.0,06113010513,31600.0,1446.0,2918.0,"Census Tract 105.13, Yolo County, California"
38.68119794285941,-121.78859577973613,58960.0,06113010902,54090.0,2509.0,6110.0,"Census Tract 109.02, Yolo County, California"
38.55248121647957,-121.77310375106882,76328.0,06113010512,35790.0,1809.0,4106.0,"Census Tract 105.12, Yolo County, California"
38.67013803264894,-121.76088719715882,45962.0,06113011102,56165.0,2328.0,5182.0,"Census Tract 111.02, Yolo County, California"
38.65928473535533,-121.76577325736635,84205.0,06113011204,63455.0,2534.0,5607.0,"Census Tract 112.04, Yolo County, California"
38.68842533391517,-121.7885471726338,59203.0,06113010901,61150.0,2418.0,5464.0,"Census Tract 109.01, Yolo County, California"
38.5577813650612,-121.77971398063785,74038.0,06113010511,23240.0,1001.0,3422.0,"Census Tract 105.11, Yolo County, California"
38.670181754540245,-121.77016155674369,60281.0,06113011101,32960.0,1341.0,3237.0,"Census Tract 111.01, Yolo County, California"
38.553634765526766,-121.76332293170799,53750.0,06113010703,42830.0,2098.0,5915.0,"Census Tract 107.03, Yolo County, California"
38.56450147471656,-121.7510358641163,70469.0,06113010509,32900.0,1569.0,3672.0,"Census Tract 105.09, Yolo County, California"
38.5415285402192,-121.72284280680391,57202.0,06113010608,48015.0,2246.0,6424.0,"Census Tract 106.08, Yolo County, California"
38.59222026017299,-121.5169135594809,40203.0,06113010101,60895.0,2540.0,6796.0,"Census Tract 101.01, Yolo County, California"
38.67000894463719,-121.7516447787763,71184.0,06113011103,35070.0,1474.0,3069.0,"Census Tract 111.03, Yolo County, California"
38.55362471035658,-121.75557623561589,72574.0,06113010704,23845.0,1156.0,2659.0,"Census Tract 107.04, Yolo County, California"
38.57645139744802,-121.75888537449843,67583.0,06113010510,48330.0,2212.0,5246.0,"Census Tract 105.10, Yolo County, California"
38.54825216100694,-121.73596161751324,38021.0,06113010602,66340.0,2994.0,5748.0,"Census Tract 106.02, Yolo County, California"
